"","Year","Scenario","Absolute Level (Mt CO2)","% Reductions from 2005","% Reductions from No IRA","Reductions from No IRA (Mt CO2)"
"1",2005,"Baseline",736.3,NA,NA,NA
"2",2030,"No IRA Min",236.43,67.89,NA,NA
"3",2030,"No IRA Median",283.86,61.45,NA,NA
"4",2030,"No IRA Max",397.47,46.02,NA,NA
"5",2030,"IRA Min",122.27,83.39,12,114.16
"6",2030,"IRA Median",172.01,76.64,38.52,111.85
"7",2030,"IRA Max",349.76,52.5,54.05,47.71
"8",2035,"No IRA Min",173.49,76.44,NA,NA
"9",2035,"No IRA Median",263.15,64.26,NA,NA
"10",2035,"No IRA Max",393.18,46.6,NA,NA
"11",2035,"IRA Min",72.97,90.09,36.27,100.52
"12",2035,"IRA Median",111.74,84.82,54.86,151.41
"13",2035,"IRA Max",187.52,74.53,74.07,205.66
