"model","year","scenario","variable_rename","diff","figure_num"
"USREP-ReEDS",2025,"IRA","Gas",-215.826928901522,"F.15.GasGen"
"USREP-ReEDS",2030,"IRA","Gas",-495.940932095264,"F.15.GasGen"
"USREP-ReEDS",2035,"IRA","Gas",-744.913576797382,"F.15.GasGen"
"EPS-EI",2025,"IRA","Gas",-121.118369930158,"F.15.GasGen"
"EPS-EI",2030,"IRA","Gas",-771.446248143833,"F.15.GasGen"
"EPS-EI",2035,"IRA","Gas",-1115.72177224506,"F.15.GasGen"
"GCAM-CGS",2025,"IRA","Gas",-217.350840585873,"F.15.GasGen"
"GCAM-CGS",2030,"IRA","Gas",-346.428427811531,"F.15.GasGen"
"GCAM-CGS",2035,"IRA","Gas",-657.535811483925,"F.15.GasGen"
"GCAM-PNNL",2025,"IRA","Gas",-229.31724262776,"F.15.GasGen"
"GCAM-PNNL",2030,"IRA","Gas",-449.6291252502,"F.15.GasGen"
"GCAM-PNNL",2035,"IRA","Gas",-625.10309263332,"F.15.GasGen"
"Haiku-RFF",2025,"IRA","Gas",-145.931215151622,"F.15.GasGen"
"Haiku-RFF",2030,"IRA","Gas",-297.023826590041,"F.15.GasGen"
"Haiku-RFF",2035,"IRA","Gas",-296.900021308326,"F.15.GasGen"
"IPM-NRDC",2025,"IRA","Gas",85.1856518191648,"F.15.GasGen"
"IPM-NRDC",2030,"IRA","Gas",-291.628139687999,"F.15.GasGen"
"IPM-NRDC",2035,"IRA","Gas",-403.569081349075,"F.15.GasGen"
"IPM-EPA",2030,"IRA","Gas",-36.8571310343291,"F.15.GasGen"
"IPM-EPA",2035,"IRA","Gas",-541.346057954853,"F.15.GasGen"
"MARKAL-NETL",2025,"IRA","Gas",5.15267001043298,"F.15.GasGen"
"MARKAL-NETL",2030,"IRA","Gas",129.65006616547,"F.15.GasGen"
"MARKAL-NETL",2035,"IRA","Gas",-591.337632259287,"F.15.GasGen"
"NEMS-RHG",2025,"IRA","Gas",202.804484126682,"F.15.GasGen"
"NEMS-RHG",2030,"IRA","Gas",-438.665744429717,"F.15.GasGen"
"NEMS-RHG",2035,"IRA","Gas",-237.737595558655,"F.15.GasGen"
"NEMS-OP",2022,"IRA","Gas",2.59088673922724,"F.15.GasGen"
"NEMS-OP",2023,"IRA","Gas",-16.8239756695298,"F.15.GasGen"
"NEMS-OP",2024,"IRA","Gas",-73.3044382035421,"F.15.GasGen"
"NEMS-OP",2025,"IRA","Gas",-102.382053786855,"F.15.GasGen"
"NEMS-OP",2026,"IRA","Gas",-127.271406317763,"F.15.GasGen"
"NEMS-OP",2027,"IRA","Gas",-171.537553084073,"F.15.GasGen"
"NEMS-OP",2028,"IRA","Gas",-276.482468218724,"F.15.GasGen"
"NEMS-OP",2029,"IRA","Gas",-362.503245288601,"F.15.GasGen"
"NEMS-OP",2030,"IRA","Gas",-417.622297385466,"F.15.GasGen"
"NEMS-OP",2031,"IRA","Gas",-432.667706676336,"F.15.GasGen"
"NEMS-OP",2032,"IRA","Gas",-454.577909899088,"F.15.GasGen"
"NEMS-OP",2033,"IRA","Gas",-552.818250622711,"F.15.GasGen"
"NEMS-OP",2034,"IRA","Gas",-624.525638505996,"F.15.GasGen"
"NEMS-OP",2035,"IRA","Gas",-652.398692246215,"F.15.GasGen"
"REGEN-EPRI",2025,"IRA","Gas",-12.0134625858755,"F.15.GasGen"
"REGEN-EPRI",2030,"IRA","Gas",130.909293740161,"F.15.GasGen"
"REGEN-EPRI",2035,"IRA","Gas",-493.850026178004,"F.15.GasGen"
"RIO-REPEAT",2025,"IRA","Gas",45.9990011375999,"F.15.GasGen"
"RIO-REPEAT",2030,"IRA","Gas",-164.996417124,"F.15.GasGen"
"RIO-REPEAT",2035,"IRA","Gas",-394.991422812,"F.15.GasGen"
"ReEDS-NREL",2025,"IRA","Gas",-113.985231140005,"F.15.GasGen"
"ReEDS-NREL",2030,"IRA","Gas",-571.37901024723,"F.15.GasGen"
"ReEDS-NREL",2035,"IRA","Gas",-778.493063324066,"F.15.GasGen"
"USREP-ReEDS",2021,"Historic","Gas",0,"F.15.GasGen"
"EPS-EI",2021,"Historic","Gas",0,"F.15.GasGen"
"GCAM-CGS",2021,"Historic","Gas",0,"F.15.GasGen"
"GCAM-PNNL",2021,"Historic","Gas",0,"F.15.GasGen"
"Haiku-RFF",2021,"Historic","Gas",0,"F.15.GasGen"
"IPM-NRDC",2021,"Historic","Gas",0,"F.15.GasGen"
"IPM-EPA",2021,"Historic","Gas",0,"F.15.GasGen"
"MARKAL-NETL",2021,"Historic","Gas",0,"F.15.GasGen"
"NEMS-RHG",2021,"Historic","Gas",0,"F.15.GasGen"
"NEMS-OP",2021,"Historic","Gas",0,"F.15.GasGen"
"REGEN-EPRI",2021,"Historic","Gas",0,"F.15.GasGen"
"RIO-REPEAT",2021,"Historic","Gas",0,"F.15.GasGen"
"ReEDS-NREL",2021,"Historic","Gas",0,"F.15.GasGen"
