"model","scenario","unit","year","datasrc","variable","region","value","figure_type","figure_no","title_name","flip_sign","variable_rename","regions","models","years","scenarios","type","position","x","y","facet1","facet2","color","page_filter","scales"
"EPS-EI","IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",0.0424816326202551,"stackbar",18,"Electricity Generation",0,"Biomass w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",188.611933951616,"stackbar",18,"Electricity Generation",0,"Coal w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",1007.50680059796,"stackbar",18,"Electricity Generation",0,"Gas w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Hydro","United States",282.50689685172,"stackbar",18,"Electricity Generation",0,"Hydro","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Nuclear","United States",802.278507800933,"stackbar",18,"Electricity Generation",0,"Nuclear","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Solar","United States",1072.57854715489,"stackbar",18,"Electricity Generation",0,"Solar","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Wind","United States",1598.24672958962,"stackbar",18,"Electricity Generation",0,"Wind","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",0.0252785433734306,"stackbar",18,"Electricity Generation",0,"Biomass w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",18.0534358863323,"stackbar",18,"Electricity Generation",0,"Coal w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",712.324132718836,"stackbar",18,"Electricity Generation",0,"Gas w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Hydro","United States",280.652930341402,"stackbar",18,"Electricity Generation",0,"Hydro","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Nuclear","United States",41.4337015498731,"stackbar",18,"Electricity Generation",0,"Nuclear","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Solar","United States",1678.62773760311,"stackbar",18,"Electricity Generation",0,"Solar","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Wind","United States",2577.92233292477,"stackbar",18,"Electricity Generation",0,"Wind","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",22.036501937021,"stackbar",18,"Electricity Generation",0,"Biomass w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Coal|w/o CCS","United States",434.363153750561,"stackbar",18,"Electricity Generation",0,"Coal w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Gas|w/o CCS","United States",1778.9558652958,"stackbar",18,"Electricity Generation",0,"Gas w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Hydro","United States",282.50689685172,"stackbar",18,"Electricity Generation",0,"Hydro","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Nuclear","United States",693.008181638327,"stackbar",18,"Electricity Generation",0,"Nuclear","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Solar","United States",538.026281200488,"stackbar",18,"Electricity Generation",0,"Solar","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2030,"bistline_ira_tall.csv","Secondary Energy|Electricity|Wind","United States",733.775445226603,"stackbar",18,"Electricity Generation",0,"Wind","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
"EPS-EI","No IRA","TWh",2035,"bistline_ira_tall.csv","Secondary Energy|Electricity|Biomass|w/o CCS","United States",22.5906919262435,"stackbar",18,"Electricity Generation",0,"Biomass w/o CCS","usa","models_leep","ira_2030_2035","hist_mod_scenarios2","grid","stack","year","value","scenario","model","variable_rename","region","fixed"
